,CITY_ID,SHEM_YISHU,SRt_05-05,N_05-05,SRt_05-04,N_05-04,SRt_05-03,N_05-03,SRt_05-02,N_05-02,SRt_05-01,N_05-01,SRt_04-30,N_04-30,SRt_04-29,N_04-29,SRt_04-28,N_04-28,SRt_04-27,N_04-27,SRt_04-26,N_04-26,SRt_04-25,N_04-25,SRt_04-24,N_04-24,SRt_04-23,N_04-23,SRt_04-22,N_04-22,SRt_04-21,N_04-21,SRt_04-20,N_04-20,SRt_04-19,N_04-19,SRt_04-18,N_04-18,SRt_04-17,N_04-17,SRt_04-16,N_04-16,SRt_04-15,N_04-15,SRt_04-14,N_04-14,SRt_04-13,N_04-13,SRt_04-12,N_04-12,SRt_04-11,N_04-11,SRt_04-10,N_04-10,SRt_04-09,N_04-09,SRt_04-08,N_04-08,SRt_04-07,N_04-07,SRt_04-06,N_04-06,SRt_04-05,N_04-05,SRt_04-04,N_04-04,SRt_04-03,N_04-03,SRt_04-02,N_04-02,SRt_04-01,N_04-01,SRt_03-31,N_03-31,SRt_03-30,N_03-30,SRt_03-29,N_03-29,SRt_03-28,N_03-28,SRt_03-27,N_03-27,SRt_03-26,N_03-26,SRt_03-25,N_03-25,SRt_03-24,N_03-24,SRt_03-23,N_03-23,SRt_03-22,N_03-22,SRt_03-21,N_03-21
0,44.0,אשדוד,0.017837699887345217,798.0,0.01870704973809148,809.0,0.01867271651605053,993.0,0.016985267389691062,897.0,0.017085368824317288,907.0,0.016257487803532297,922.0,0.016707491595381985,961.0,0.017394134502519962,1097.0,0.017401869901624012,1407.0,0.018460426450776026,1359.0,0.019143657593889033,1169.0,0.018580053105030025,1187.0,0.019056269428511775,1188.0,0.020124416112214504,1016.0,0.021072775921639076,982.0,0.02221729930621934,696.0,0.021371931811946115,697.0,0.021481394024602272,803.0,0.02225450534228183,848.0,0.023745320720148462,984.0,0.024297531646917052,964.0,0.027010054255949212,1085.0,0.029698870089354682,1437.0,0.02875699077610423,1824.0,0.02981443830950523,2070.0,0.030309431477688217,2258.0,0.03133529637752941,2157.0,0.033011585650278036,2487.0,0.03248013228432915,2351.0,0.03163325087200385,2052.0,0.0356751597844231,1653.0,0.03764988461679147,1399.0,0.04172759929010115,1260.0,0.04060942159529792,1250.0,0.04091551177085652,1016.0,0.042653198134427917,1012.0,0.04450215079484954,896.0,0.04404670282672451,764.0,0.04217281574749024,715.0,0.0390013236084617,655.0,0.040012813488410855,613.0,0.04082055310687735,491.0,0.04314823721198381,571.0,0.04672888233736931,645.0,0.04894353253857723,702.0,0.04996295649732148,631.0
1,93.0,תל מונד,0.008284752816280768,374.0,0.008512660939544081,374.0,0.009248761359145256,433.0,0.009396973363297962,381.0,0.00919848172407629,386.0,0.009264492657424916,395.0,0.009994240774751304,399.0,0.009113527172510507,435.0,0.009428832338030314,509.0,0.007821751090651707,488.0,0.007155869603960426,443.0,0.007046523650447477,453.0,0.006819161867380105,464.0,0.006213599133621958,430.0,0.006295266668648421,414.0,0.0053147408619339575,357.0,0.0050484867199911115,364.0,0.0059278934805747875,384.0,0.006031608740267825,402.0,0.007146585826293968,437.0,0.006912804231302818,431.0,0.00881582162233992,441.0,0.010227261214413459,477.0,0.015612690135197735,538.0,0.018762795284041622,560.0,0.019819584465785425,564.0,0.020585209869855712,533.0,0.023829015250670257,574.0,0.023110199222519532,576.0,0.025643501856145917,551.0,0.023207248073443203,493.0,0.020349203488039636,474.0,0.020169895320321027,459.0,0.0213938702427398,450.0,0.021046585660046704,418.0,0.02430854706684622,385.0,0.022482071298073652,329.0,0.024015437293327266,267.0,0.026314833487715798,236.0,0.03354532179233653,232.0,0.03380763419556153,207.0,,,,,,,0.045572784511783586,205.0,,
2,104.0,גן יבנה,0.013345727296850051,266.0,0.013158319212132721,272.0,0.01342923266545998,314.0,0.011131510327443491,309.0,0.010479050025416816,307.0,0.010494873057089826,309.0,0.014270604482095547,325.0,0.012121596596104,357.0,0.012890535437300904,430.0,0.013700099726154335,406.0,0.013752497114606717,354.0,0.013478269963189168,365.0,0.01356533969855628,377.0,0.010091424644891602,341.0,0.010497535221560356,329.0,0.00880893181487464,264.0,0.006502771282615071,273.0,0.006177952828896812,300.0,0.007579665851362454,302.0,0.010498581480298082,341.0,0.012286243149436646,336.0,0.012750501701678676,365.0,0.01513719235323394,432.0,0.020447660441058585,523.0,0.02244685968257181,544.0,0.022688550504142205,572.0,0.02121288699632908,543.0,0.023977248403549006,608.0,0.026869297373548075,595.0,0.030381346306902507,532.0,0.02937664915542609,453.0,0.02871256073661215,433.0,0.03220890104962083,428.0,0.03557850231333539,412.0,0.033637557256899084,354.0,0.03590059498781288,327.0,0.03357474715591432,289.0,0.033009376033190936,227.0,,,,,,,,,,,,,,,,
3,106.0,כפר יונה,0.0172556718211141,224.0,0.0177623507464477,224.0,0.019143663931158617,269.0,0.015814319777588053,236.0,0.01571398190420211,237.0,0.015074437959281303,235.0,0.017290736206479855,271.0,0.018789616970078228,311.0,0.016849986775460922,396.0,0.01597143780384521,379.0,0.015795697137135592,335.0,0.014877230856803486,340.0,0.01452372521671592,352.0,0.013004610042721626,298.0,0.011001749787097347,278.0,0.009572208752472066,218.0,0.010311872281240125,210.0,0.01098066889638673,224.0,0.012447338144103589,249.0,0.0150505499389059,285.0,0.014172184960697802,305.0,0.021048050025765305,329.0,0.0239893428524385,396.0,0.026411684943039655,483.0,0.027649462770341915,529.0,0.028520231705581458,554.0,0.029430913453756265,523.0,0.03284627307521245,551.0,0.029502523458559776,548.0,0.029783283769863465,492.0,0.027400931289315,430.0,0.030471779517858826,428.0,0.03202547061453876,414.0,0.03190904483585058,418.0,0.03239323666814889,399.0,0.03426297072504915,380.0,0.03450616205134429,333.0,0.03851301529490932,281.0,0.03963669667774924,233.0,0.04622280641139017,211.0,,,,,,,,,0.0651313175399784,201.0,,
4,115.0,אבן יהודה,0.008892361567713059,301.0,0.009035067201929226,307.0,0.008625691675352334,350.0,0.008368723573368327,269.0,0.008016280601159704,271.0,0.00808404489415847,269.0,0.009309560866626244,279.0,0.009838471020814992,308.0,0.009971632750655983,366.0,0.010940032641633407,354.0,0.010992228428534317,329.0,0.010735559381970464,337.0,0.010815802752013536,359.0,0.010416950797174493,340.0,0.010144653120222159,343.0,0.00953241495296061,300.0,0.011022948652569309,286.0,0.012194024741756092,298.0,0.01222444974926261,317.0,0.012328288531838715,330.0,0.0160498167993451,319.0,0.016612122355143664,322.0,0.019975186871752777,360.0,0.018898709393832716,434.0,0.020520661252516916,475.0,0.0227869045145574,489.0,0.025075369481841952,480.0,0.024030113909091096,518.0,0.026300685245555004,522.0,0.025296803169509746,486.0,0.024888766960715118,437.0,0.022358712529992417,403.0,0.02112504168687834,384.0,0.02088066885297237,372.0,0.020796695110908932,347.0,0.019825790919718412,317.0,0.021143574684745647,278.0,0.02436362857784432,224.0,0.029322803480450958,208.0,0.03025470591603599,210.0,0.03286345427790319,206.0,,,0.03534903956845509,250.0,0.03548602218940561,290.0,0.038190301996156174,322.0,0.03836735470572673,291.0
5,127.0,קדימה-צורן,0.016134456928721622,360.0,0.0170857878074017,371.0,0.017419508523340527,456.0,0.018204917259278367,375.0,0.018303616204232133,388.0,0.0174283536840433,400.0,0.014557090809711534,399.0,0.01384496812125952,451.0,0.013227094791857212,527.0,0.011311181432704601,480.0,0.010004427634905732,431.0,0.009270736538968824,441.0,0.009382543640402476,450.0,0.008742541811054685,424.0,0.008471528239588208,414.0,0.0065829065397081344,355.0,0.006044608739775363,364.0,0.007812849336987058,404.0,0.010581300371041422,428.0,0.012201872714866054,469.0,0.01383895272546781,470.0,0.014160771771788424,500.0,0.013922008480194557,556.0,0.01589145016058851,627.0,0.01816414673459943,668.0,0.020932682482379124,690.0,0.021392805211744862,650.0,0.023780756701556206,692.0,0.02556041861896743,660.0,0.02799972773701924,613.0,0.02768644221505484,546.0,0.02742302014552689,505.0,0.026776095782163903,497.0,0.027571210855507546,503.0,0.026609213399147468,492.0,0.027268445075403432,525.0,0.028946389905674174,471.0,0.03219811650813011,409.0,0.035017352064857135,358.0,0.036169900040330286,330.0,0.03611527886158221,313.0,0.0404776396509251,258.0,0.050597467941529826,237.0,0.051808671218193526,275.0,0.0479240636929872,334.0,0.04733362367730263,330.0
6,148.0,גני תקווה,0.012019918245226784,484.0,0.011446082271782034,513.0,0.014325899550892132,602.0,0.013180764779838922,498.0,0.013024256468289405,496.0,0.012667399310743802,499.0,0.011902732097164413,506.0,0.011901826158359712,569.0,0.011305650802026508,654.0,0.008308840384319578,615.0,0.009676047895276669,560.0,0.009187239553741889,577.0,0.010328271297014446,586.0,0.011025164870578115,526.0,0.014294680220692073,504.0,0.01541592989964803,423.0,0.015559361286999385,414.0,0.014746595000478986,439.0,0.016404197676915228,464.0,0.017389972333301154,498.0,0.019999234705676855,485.0,0.017938256730861607,503.0,0.019300364484183506,552.0,0.02204075759285688,643.0,0.023882500049903454,692.0,0.025487421920637642,702.0,0.025826463468296774,683.0,0.027480907019997936,772.0,0.030595256632077638,757.0,0.031714911425054344,721.0,0.03324369309965046,639.0,0.03227975442767157,598.0,0.03238394115918891,579.0,0.032759842026618496,575.0,0.033685177337214336,506.0,0.03225071209680218,469.0,0.03304496427430862,401.0,0.034652428980034566,330.0,0.04596347062297554,292.0,0.048228073115988576,268.0,0.053255276285928535,229.0,,,,,0.053394717031477454,228.0,0.05218966548714779,265.0,0.04814308409198933,222.0
7,156.0,יקנעם עילית,0.013765220425799404,300.0,0.013045665299400384,305.0,0.013400998683011138,364.0,0.011958989877378092,333.0,0.011485384797926906,349.0,0.012062481377216595,356.0,0.012273273505506254,344.0,0.011248691521072827,384.0,0.014139564943550339,450.0,0.014065667921218005,418.0,0.01365436903518494,364.0,0.013464462435290831,370.0,0.012630200173398325,377.0,0.010696210445054541,337.0,0.010370363250192494,320.0,0.00712758415574872,270.0,0.007691865431223859,278.0,0.008078983438936673,283.0,0.00874261608647954,292.0,0.010421055977632146,315.0,0.015750575822725554,306.0,0.017896156778196705,329.0,0.019879735076258308,382.0,0.02443372852226421,463.0,0.02579338347115503,542.0,0.02647226439854596,566.0,0.027934602554129096,546.0,0.025530785664491438,616.0,0.027754762510621554,611.0,0.029012339389178105,579.0,0.02958101836523843,520.0,0.03317288384082256,501.0,0.036608110220459136,485.0,0.039017980826505635,466.0,0.04452526774733695,407.0,0.045988110383529346,365.0,0.04836823090414622,305.0,0.047612658461261136,241.0,,,,,,,,,,,,,,,,
8,489.0,גבעת שמואל,0.013793632461302129,462.0,0.013830129580346113,467.0,0.01600931978948241,569.0,0.016334407405285238,487.0,0.015697148223710728,501.0,0.015337683266988544,499.0,0.014899036377420157,530.0,0.017648329001101606,606.0,0.017054766641729203,735.0,0.015386806278662022,671.0,0.01453918838061636,580.0,0.015737530115304484,587.0,0.016031580755633455,599.0,0.01665596509169886,522.0,0.01411142089453135,480.0,0.016294132645297228,363.0,0.018919567941738956,353.0,0.019219624610982724,387.0,0.019094748319123167,398.0,0.018440423695266203,458.0,0.020248366187015667,445.0,0.0222090136150467,466.0,0.02569716693463312,531.0,0.02716542258830534,655.0,0.02837282449081165,690.0,0.028708932436391187,708.0,0.029974393238014426,663.0,0.030992327718611594,752.0,0.03038719905804337,756.0,0.028234780202331958,710.0,0.02708913863818118,635.0,0.025233474556930105,606.0,0.027332870104668,587.0,0.029035585874391454,583.0,0.02894532392627629,501.0,0.03127874262652594,471.0,0.032403770190783006,410.0,0.03627289678230843,314.0,0.041056250541054135,296.0,0.04334977694384972,284.0,0.0442840803792249,269.0,0.0480514819564866,253.0,0.0488910299202053,286.0,0.047984845183859405,339.0,0.04534278182389684,383.0,0.04868250104935657,341.0
9,695.0,מבשרת ציון,0.006744973791090349,461.0,0.006627183172361821,472.0,0.0074478071391389546,526.0,0.007687691298283249,477.0,0.007478835393052835,490.0,0.007201590421085203,493.0,0.008296446439540753,483.0,0.007831471007982373,531.0,0.009081027843253611,574.0,0.008284704593933654,545.0,0.007426916733449049,510.0,0.00831781351633668,523.0,0.007804749247426651,555.0,0.0062799274228883045,545.0,0.005300362241202454,569.0,0.003866338067619824,548.0,0.003832946012420951,577.0,0.0052793380822259185,613.0,0.005713824844290837,659.0,0.007985464211562958,662.0,0.008732383719518578,671.0,0.011347563937305962,670.0,0.013076858462089594,707.0,0.015598182613510961,763.0,0.01632391125503808,802.0,0.01907940405648003,778.0,0.01848818542844526,756.0,0.02027482134285886,791.0,0.021923688011164517,784.0,0.02416829511526226,742.0,0.02619378509879893,683.0,0.02737141635590503,651.0,0.02591877277400807,657.0,0.02647840500982193,661.0,0.02675180364763427,652.0,0.025922670402018316,622.0,0.02531409144750674,546.0,0.024584100746703048,465.0,0.03025106871820677,408.0,0.035289219787495434,387.0,0.04011381958247058,334.0,0.04745573834608473,272.0,0.048869043077728984,265.0,0.047919414500787336,323.0,0.049685626320385444,344.0,0.051659754767053256,312.0
10,715.0,נצרת עילית,0.023073072842183386,237.0,0.02690826925495857,239.0,0.028578535619066533,266.0,0.029267467562697574,235.0,0.028945093235873014,241.0,0.029012277304517487,241.0,0.028653611496196038,246.0,0.0266292066911886,270.0,0.022423624958074997,335.0,0.02094786523201467,335.0,0.021063311863727154,294.0,0.0202751763349418,303.0,0.020215223836363067,305.0,0.01956942525330795,261.0,0.02244989671920257,246.0,,,,,,,,,0.03461930447172496,209.0,,,0.03472408790600363,215.0,0.036328647361838835,259.0,0.03671516254570268,319.0,0.03239769532656643,364.0,0.03244389541044751,385.0,0.031966808512772206,379.0,0.03283095650369852,491.0,0.03417633775731792,479.0,0.03552028695958814,443.0,0.03635695136039524,388.0,0.03701499743534575,336.0,0.038525712118320427,317.0,0.038551012847538285,308.0,0.034717400456083146,207.0,,,,,,,,,,,,,,,,,,,,,,
